Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[9]      9.4    0.62    0.00    1677         polygonization::Polygonizer::boundingBoxRotatingCalipers(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&) [9]
                0.00    0.00   11062/27811459     common::atan2Approx(float, float) [18]
                0.00    0.00    1677/1677        polygonization::Polygonizer::findAntipodalPairsOfConvexHull(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<polygonization::AntipodalPair, std::allocator<polygonization::AntipodalPair> >&) [82]
                0.00    0.00     900/900         std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> >::_M_default_append(unsigned long) [90]
-----------------------------------------------
                0.43    0.00     228/228         void segmentation::Segmenter::segment<pcl::PointXYZIR>(pcl::PointCloud<pcl::PointXYZIR> const&, std::vector<segmentation::Label, std::allocator<segmentation::Label> >&) [3]
[10]     6.5    0.43    0.00     228         void segmentation::Segmenter::JCP<pcl::PointXYZIR>(pcl::PointCloud<pcl::PointXYZIR> const&) [10]
-----------------------------------------------
                0.42    0.00     228/228         segmentation::Segmenter::RECM() [6]
[11]     6.4    0.42    0.00     228         segmentation::Segmenter::correctCloseRangeFalsePositivesRANSAC() [11]
                0.00    0.00   27360/27588       segmentation::Segmenter::resetValues() [80]
-----------------------------------------------
                             1143311             void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}>) [12]
                0.41    0.00   55790/55790       void polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&) [7]
[12]     6.2    0.41    0.00   55790+1143311 void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}>) [12]
                0.00    0.00     210/210         void std::__adjust_heap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, int, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, long, int, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}>) [118]
                             1143311             void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<polygonization::Polygonizer::convexHull<polygonization::PointXY>(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&, std::vector<int, std::allocator<int> >&)::{lambda(auto:1, auto:2)#2}>) [12]
-----------------------------------------------
                0.25    0.04     228/228         void segmentation::Segmenter::segment<pcl::PointXYZIR>(pcl::PointCloud<pcl::PointXYZIR> const&, std::vector<segmentation::Label, std::allocator<segmentation::Label> >&) [3]
[13]     4.4    0.25    0.04     228         void segmentation::Segmenter::constructPolarGrid<pcl::PointXYZIR>(pcl::PointCloud<pcl::PointXYZIR> const&) [13]
                0.04    0.00 27800397/27811459     common::atan2Approx(float, float) [18]
-----------------------------------------------
                0.17    0.00     228/228         void clustering::Clusterer::cluster<pcl::PointXYZRGB>(pcl::PointCloud<pcl::PointXYZRGB> const&, std::vector<int, std::allocator<int> >&) [4]
[14]     2.6    0.17    0.00     228         clustering::Clusterer::buildHashTable() [14]
-----------------------------------------------
                             1922171             void std::__introselect<__gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<spatial_index::KDTree<float, (unsigned char)3>::rebuild(std::vector<std::array<float, 3ul>, std::allocator<std::array<float, 3ul> > > const&)::{lambda(spatial_index::KDTree<float, (unsigned char)3>::Node const&, spatial_index::KDTree<float, (unsigned char)3>::Node const&)#1}> >(__gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, __gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, __gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<spatial_index::KDTree<float, (unsigned char)3>::rebuild(std::vector<std::array<float, 3ul>, std::allocator<std::array<float, 3ul> > > const&)::{lambda(spatial_index::KDTree<float, (unsigned char)3>::Node const&, spatial_index::KDTree<float, (unsigned char)3>::Node const&)#1}>) [15]
                0.16    0.00  944846/944846      segmentation::Segmenter::RECM() [6]
[15]     2.4    0.16    0.00  944846+1922171 void std::__introselect<__gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<spatial_index::KDTree<float, (unsigned char)3>::rebuild(std::vector<std::array<float, 3ul>, std::allocator<std::array<float, 3ul> > > const&)::{lambda(spatial_index::KDTree<float, (unsigned char)3>::Node const&, spatial_index::KDTree<float, (unsigned char)3>::Node const&)#1}> >(__gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, __gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, __gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<spatial_index::KDTree<float, (unsigned char)3>::rebuild(std::vector<std::array<float, 3ul>, std::allocator<std::array<float, 3ul> > > const&)::{lambda(spatial_index::KDTree<float, (unsigned char)3>::Node const&, spatial_index::KDTree<float, (unsigned char)3>::Node const&)#1}>) [15]
                             1922171             void std::__introselect<__gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<spatial_index::KDTree<float, (unsigned char)3>::rebuild(std::vector<std::array<float, 3ul>, std::allocator<std::array<float, 3ul> > > const&)::{lambda(spatial_index::KDTree<float, (unsigned char)3>::Node const&, spatial_index::KDTree<float, (unsigned char)3>::Node const&)#1}> >(__gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, __gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, __gnu_cxx::__normal_iterator<spatial_index::KDTree<float, (unsigned char)3>::Node*, std::vector<spatial_index::KDTree<float, (unsigned char)3>::Node, std::allocator<spatial_index::KDTree<float, (unsigned char)3>::Node> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<spatial_index::KDTree<float, (unsigned char)3>::rebuild(std::vector<std::array<float, 3ul>, std::allocator<std::array<float, 3ul> > > const&)::{lambda(spatial_index::KDTree<float, (unsigned char)3>::Node const&, spatial_index::KDTree<float, (unsigned char)3>::Node const&)#1}>) [15]
-----------------------------------------------
                0.16    0.00     228/228         processing::Processor::run(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&) [2]
[16]     2.4    0.16    0.00     228         std::vector<pcl::PointXYZIR, Eigen::aligned_allocator<pcl::PointXYZIR> >::_M_default_append(unsigned long) [16]
-----------------------------------------------
                0.05    0.00 27842198/27842198     processing::Processor::run(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&) [2]
[17]     0.8    0.05    0.00 27842198         rclcpp::WallTimer<rclcpp::detail::create_subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}, std::allocator<void>, rclcpp::Subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, rclcpp::Node, rclcpp::Node, sensor_msgs::msg::PointCloud2_<std::allocator<void> > >(rclcpp::Node&, rclcpp::Node&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}&&, rclcpp::SubscriptionOptionsWithAllocator<std::allocator<void> > const&, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::SharedPtr)::{lambda()#1}, (void*)0>::~WallTimer() [17]
-----------------------------------------------
                0.00    0.00   11062/27811459     polygonization::Polygonizer::boundingBoxRotatingCalipers(std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> > const&) [9]
                0.04    0.00 27800397/27811459     void segmentation::Segmenter::constructPolarGrid<pcl::PointXYZIR>(pcl::PointCloud<pcl::PointXYZIR> const&) [13]
[18]     0.6    0.04    0.00 27811459         common::atan2Approx(float, float) [18]
-----------------------------------------------
                0.04    0.00     228/228         processing::Processor::run(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&) [2]
[19]     0.6    0.04    0.00     228         clustering::Clusterer::removeSmallClusters(std::vector<int, std::allocator<int> >&) [19]
                0.00    0.00     228/228         std::vector<unsigned int, std::allocator<unsigned int> >::_M_fill_assign(unsigned long, unsigned int const&) [117]
                0.00    0.00     228/684         std::vector<int, std::allocator<int> >::_M_fill_assign(unsigned long, int const&) [93]
-----------------------------------------------
                0.00    0.03       1/1           main [1]
[20]     0.4    0.00    0.03       1         processing::Processor::Processor() [20]
                0.01    0.02       1/229         processing::Processor::run(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&) [2]
                0.00    0.00       4/4           std::shared_ptr<rclcpp::Publisher<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > > rclcpp::Node::create_publisher<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, rclcpp::Publisher<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&, rclcpp::PublisherOptionsWithAllocator<std::allocator<void> > const&) [36]
                0.00    0.00       6/7478        std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release() <cycle 1> [24]
                0.00    0.00       6/7478        rclcpp::PublisherOptionsWithAllocator<std::allocator<void> >::~PublisherOptionsWithAllocator() <cycle 1> [120]
                0.00    0.00       1/1           std::shared_ptr<rclcpp::Publisher<sensor_msgs::msg::Image_<std::allocator<void> >, std::allocator<void> > > rclcpp::detail::create_publisher<sensor_msgs::msg::Image_<std::allocator<void> >, std::allocator<void>, rclcpp::Publisher<sensor_msgs::msg::Image_<std::allocator<void> >, std::allocator<void> >, rclcpp::Node, rclcpp::Node>(rclcpp::Node&, rclcpp::Node&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&, rclcpp::PublisherOptionsWithAllocator<std::allocator<void> > const&) [46]
                0.00    0.00       1/1           std::shared_ptr<rclcpp::Publisher<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::allocator<void> > > rclcpp::detail::create_publisher<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::allocator<void>, rclcpp::Publisher<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::allocator<void> >, rclcpp::Node, rclcpp::Node>(rclcpp::Node&, rclcpp::Node&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&, rclcpp::PublisherOptionsWithAllocator<std::allocator<void> > const&) [47]
                0.00    0.00       1/3           rclcpp::SubscriptionOptionsWithAllocator<std::allocator<void> >::~SubscriptionOptionsWithAllocator() [51]
                0.00    0.00       1/1           rclcpp::NodeOptions::~NodeOptions() [57]
                0.00    0.00      18/447954      rclcpp::GenericTimer<rclcpp::detail::create_subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}, std::allocator<void>, rclcpp::Subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, rclcpp::Node, rclcpp::Node, sensor_msgs::msg::PointCloud2_<std::allocator<void> > >(rclcpp::Node&, rclcpp::Node&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}&&, rclcpp::SubscriptionOptionsWithAllocator<std::allocator<void> > const&, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::SharedPtr)::{lambda()#1}, (void*)0>::call() [74]
                0.00    0.00       7/7           std::_Sp_counted_ptr_inplace<rclcpp::WallTimer<rclcpp::detail::create_subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}, std::allocator<void>, rclcpp::Subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, rclcpp::Node, rclcpp::Node, sensor_msgs::msg::PointCloud2_<std::allocator<void> > >(rclcpp::Node&, rclcpp::Node&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}&&, rclcpp::SubscriptionOptionsWithAllocator<std::allocator<void> > const&, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::SharedPtr)::{lambda()#1}, (void*)0>, std::allocator<rclcpp::WallTimer<rclcpp::detail::create_subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}, std::allocator<void>, rclcpp::Subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, rclcpp::Node, rclcpp::Node, sensor_msgs::msg::PointCloud2_<std::allocator<void> > >(rclcpp::Node&, rclcpp::Node&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}&&, rclcpp::SubscriptionOptionsWithAllocator<std::allocator<void> > const&, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::SharedPtr)::{lambda()#1}, (void*)0> >, (__gnu_cxx::_Lock_policy)2>::_M_get_deleter(std::type_info const&) [133]
                0.00    0.00       7/7           auto rclcpp::Node::declare_parameter<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rcl_interfaces::msg::ParameterDescriptor_<std::allocator<void> > const&, bool) [131]
                0.00    0.00       7/7           rcl_interfaces::msg::ParameterDescriptor_<std::allocator<void> >::~ParameterDescriptor_() [129]
                0.00    0.00       7/14          rcl_interfaces::msg::ParameterValue_<std::allocator<void> >::~ParameterValue_() [123]
                0.00    0.00       3/7           rclcpp::extend_name_with_sub_namespace(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [130]
                0.00    0.00       3/231         std::vector<pcl::PointXYZRGB, Eigen::aligned_allocator<pcl::PointXYZRGB> >::reserve(unsigned long) [104]
                0.00    0.00       2/703         std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&) [91]
                0.00    0.00       2/915         std::vector<unsigned char, std::allocator<unsigned char> >::reserve(unsigned long) [83]
                0.00    0.00       2/3           std::vector<polygonization::PointXY, std::allocator<polygonization::PointXY> >::reserve(unsigned long) [142]
                0.00    0.00       1/1           noise_removal::NoiseRemover::NoiseRemover() [153]
                0.00    0.00       1/1           segmentation::Segmenter::Segmenter() [152]
                0.00    0.00       1/1           clustering::Clusterer::Clusterer() [149]
                0.00    0.00       1/1           polygonization::Polygonizer::Polygonizer() [154]
                0.00    0.00       1/8           std::_Sp_counted_ptr_inplace<std::allocator<void>, std::allocator<std::allocator<void> >, (__gnu_cxx::_Lock_policy)2>::_M_destroy() [126]
-----------------------------------------------
                0.02    0.00     228/228         void clustering::Clusterer::cluster<pcl::PointXYZRGB>(pcl::PointCloud<pcl::PointXYZRGB> const&, std::vector<int, std::allocator<int> >&) [4]
[21]     0.3    0.02    0.00     228         void clustering::Clusterer::cartesianToSpherical<pcl::PointXYZRGB>(pcl::PointCloud<pcl::PointXYZRGB> const&, std::vector<clustering::SphericalPoint, std::allocator<clustering::SphericalPoint> >&) [21]
                0.00    0.00     228/228         std::vector<clustering::SphericalPoint, std::allocator<clustering::SphericalPoint> >::reserve(unsigned long) [115]
-----------------------------------------------
                0.02    0.00     228/228         processing::Processor::run(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&) [2]
[22]     0.3    0.02    0.00     228         segmentation::Segmenter::populateLabels(std::vector<segmentation::Label, std::allocator<segmentation::Label> >&) [22]
-----------------------------------------------
[23]     0.3    0.00    0.02    7478+49      <cycle 1 as a whole> [23]
                0.00    0.02    7496             std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release() <cycle 1> [24]
                0.00    0.00      22             rclcpp::PublisherOptionsWithAllocator<std::allocator<void> >::~PublisherOptionsWithAllocator() <cycle 1> [120]
                0.00    0.00       4             std::_Sp_counted_ptr_inplace<rclcpp::Publisher<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, std::allocator<rclcpp::Publisher<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, (__gnu_cxx::_Lock_policy)2>::_M_dispose() <cycle 1> [138]
                0.00    0.00       1             processing::Processor::~Processor() <cycle 1> [150]
                0.00    0.00       1             std::_Sp_counted_ptr_inplace<rclcpp::Publisher<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::allocator<void> >, std::allocator<rclcpp::Publisher<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::allocator<void> > >, (__gnu_cxx::_Lock_policy)2>::_M_dispose() <cycle 1> [174]
                0.00    0.00       1             std::_Sp_counted_ptr_inplace<rclcpp::Publisher<sensor_msgs::msg::Image_<std::allocator<void> >, std::allocator<void> >, std::allocator<rclcpp::Publisher<sensor_msgs::msg::Image_<std::allocator<void> >, std::allocator<void> > >, (__gnu_cxx::_Lock_policy)2>::_M_dispose() <cycle 1> [172]
                0.00    0.00       1             rclcpp::Subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >::~Subscription() <cycle 1> [155]
                0.00    0.00       1             std::_Sp_counted_ptr_inplace<rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, std::allocator<rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, (__gnu_cxx::_Lock_policy)2>::_M_dispose() <cycle 1> [170]
-----------------------------------------------
                                   2             std::_Sp_counted_ptr_inplace<rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, std::allocator<rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, (__gnu_cxx::_Lock_policy)2>::_M_dispose() <cycle 1> [170]
                                   2             std::_Sp_counted_ptr_inplace<rclcpp::Publisher<sensor_msgs::msg::Image_<std::allocator<void> >, std::allocator<void> >, std::allocator<rclcpp::Publisher<sensor_msgs::msg::Image_<std::allocator<void> >, std::allocator<void> > >, (__gnu_cxx::_Lock_policy)2>::_M_dispose() <cycle 1> [172]
                                   2             std::_Sp_counted_ptr_inplace<rclcpp::Publisher<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::allocator<void> >, std::allocator<rclcpp::Publisher<visualization_msgs::msg::MarkerArray_<std::allocator<void> >, std::allocator<void> > >, (__gnu_cxx::_Lock_policy)2>::_M_dispose() <cycle 1> [174]
                                   3             rclcpp::Subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >::~Subscription() <cycle 1> [155]
                                   7             processing::Processor::~Processor() <cycle 1> [150]
                                  20             rclcpp::PublisherOptionsWithAllocator<std::allocator<void> >::~PublisherOptionsWithAllocator() <cycle 1> [120]
                0.00    0.00       1/7478        std::_Function_handler<std::shared_ptr<rclcpp::SubscriptionBase> (rclcpp::node_interfaces::NodeBaseInterface*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&), rclcpp::create_subscription_factory<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}, std::allocator<void>, rclcpp::Subscription<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void>, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> > >, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >, sensor_msgs::msg::PointCloud2_<std::allocator<void> > >(processing::Processor::Processor()::{lambda(sensor_msgs::msg::PointCloud2_<std::allocator<void> > const&)#1}&&, rclcpp::SubscriptionOptionsWithAllocator<std::allocator<void> > const&, rclcpp::message_memory_strategy::MessageMemoryStrategy<sensor_msgs::msg::PointCloud2_<std::allocator<void> >, std::allocator<void> >::SharedPtr, std::shared_ptr<rclcpp::topic_statistics::SubscriptionTopicStatistics<sensor_msgs::msg::PointCloud2_<std::allocator<void> > > >)::{lambda(rclcpp::node_interfaces::NodeBaseInterface*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, rclcpp::QoS const&)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation) [54]
                0.00    0.00       1/7478        rclcpp::NodeOptions::~NodeOptions() [57]
